frame_index,frame_time_ms,fps
0,15.67,63.8162
1,17.67,56.5931
2,15.67,63.8162
3,16.67,59.988
4,16.67,59.988
5,16.67,59.988
6,16.67,59.988
7,16.67,59.988
8,17.67,56.5931
9,16.67,59.988
10,15.67,63.8162
11,14.67,68.1663
12,14.67,68.1663
13,17.67,56.5931
14,15.67,63.8162
15,18.67,53.5619
16,17.67,56.5931
17,18.67,53.5619
18,17.67,56.5931
19,14.67,68.1663
20,15.67,63.8162
21,14.67,68.1663
22,15.67,63.8162
23,16.67,59.988
24,14.67,68.1663
25,16.67,59.988
26,14.67,68.1663
27,18.67,53.5619
28,16.67,59.988
29,15.67,63.8162
30,15.67,63.8162
31,14.67,68.1663
32,17.67,56.5931
33,17.67,56.5931
34,14.67,68.1663
35,18.67,53.5619
36,14.67,68.1663
37,18.67,53.5619
38,14.67,68.1663
39,18.67,53.5619
40,17.67,56.5931
41,14.67,68.1663
42,16.67,59.988
43,14.67,68.1663
44,15.67,63.8162
45,16.67,59.988
46,14.67,68.1663
47,15.67,63.8162
48,16.67,59.988
49,16.67,59.988
50,15.67,63.8162
51,18.67,53.5619
52,17.67,56.5931
53,16.67,59.988
54,17.67,56.5931
55,17.67,56.5931
56,15.67,63.8162
57,14.67,68.1663
58,17.67,56.5931
59,15.67,63.8162
